dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,10,7,31276,10,11987,0.0,,0.0622407890004979,0.6975060541775933,0.1604507863521576,0.7941937098523401,0.7044351992664178,0.804840040574561,0.5255682527839717,0.9134024010415348,0.10089226135188627,0.37386229634284973,0.09702177358805372,0.5605239008926337
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,20,7,31276,20,11977,-0.05347150761311297,,0.12442515600014303,0.7255235358550193,0.16842608153820038,0.7612089838857811,0.7300906294219747,0.8051627751354038,0.5258228861885449,0.9135762960798196,0.12943366884443727,0.3938532769680023,0.09710278032896384,0.5609919011438591
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,30,7,31276,30,11967,-0.03505390348159551,,0.18915875399943616,0.7148217539043106,0.1651955395936966,0.7612601320297485,0.7303673248485483,0.8054259947896358,0.5260605443878171,0.9137015832737929,0.11843776283999716,0.38696762919425964,0.09718392245341355,0.5614606835464193
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,40,7,31276,40,11957,-0.05457627369948051,,0.25369568200039794,0.7269449884383145,0.16869910061359406,0.7613949987455048,0.7307757905350705,0.8056294026391031,0.5262222945208812,0.9138263782287,0.13107488177323548,0.3942663073539734,0.09726520030107887,0.5619302500627248
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,50,7,31276,50,11947,-0.028126376822407675,,0.31744814999910886,0.711538385362633,0.16409988701343536,0.7616137942579727,0.7310868189829672,0.8059342098623061,0.5265091582532482,0.913961061495349,0.11507937884249925,0.38437768816947937,0.09709550514773584,0.5622331966183979
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user0,user0,100,7,31276,100,11897,-0.03976791223283517,,0.38035189699985494,0.7192474094752516,0.16593575477600098,0.762881398671934,0.733379846018511,0.8073328720999082,0.5276391528415039,0.914749734760192,0.12412798751765282,0.3887300193309784,0.09674707909557032,0.5640077330419433
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,10,7,31276,10,11987,0.0,,0.06310477899933176,0.48000902663082207,0.14590682089328766,0.7926086593809961,0.7901645343401624,0.8797446109774781,0.8581951474032614,0.8482474687941618,0.06830501561779247,0.4539016783237457,0.25060482189038125,0.46700592308334027
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,20,7,31276,20,11977,-0.019894207727656498,,0.1259728789991641,0.4674145212916709,0.1412961333990097,0.8027051849377974,0.8031384032006355,0.8799280775393177,0.8583861523535976,0.8484558600160232,0.053756184521538464,0.46293169260025024,0.1388494614678133,0.2792018034566252
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,30,7,31276,30,11967,0.0008431156791348993,,0.18902194299880648,0.4793952163456511,0.1456049531698227,0.793933316620707,0.7914815762810091,0.8802782405464327,0.858832191328311,0.8486910019660304,0.0684191716717709,0.45351898670196533,0.24935238572741705,0.4677864126347456
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,40,7,31276,40,11957,0.025042590768878034,,0.25123793999955524,0.4965818661719741,0.15272226929664612,0.7941791419252321,0.7917595031306242,0.8805193309392992,0.8591406816863602,0.8488530118947067,0.09870438323878614,0.44253480434417725,0.11022831814000167,0.4681776365309024
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,50,7,31276,50,11947,0.00490190252884147,,0.31139359599910676,0.48127846707575045,0.14635543525218964,0.794257972712815,0.7918187931174472,0.8806906955806735,0.8592867843180387,0.8490740824442348,0.07233072862126053,0.45167669653892517,0.2483468653218381,0.4685695153595045
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user1,user1,100,7,31276,100,11897,-0.009639265855758476,,0.3727680279989727,0.46850938654085184,0.1410580426454544,0.7956627721274271,0.793132859184617,0.8819328275181552,0.8607239655224572,0.8502948623813807,0.059577533382094934,0.4582769572734833,0.13734554929814238,0.47053879129192233
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,10,7,31276,10,11987,0.0,,0.06193006400098966,0.6123881913296876,0.18005818128585815,0.7402185701176275,0.7521370477847149,0.8261820958536665,0.8535942395428912,0.717387238135572,0.11417757707720311,0.4488043189048767,0.11946275131392342,0.2888963043296905
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,20,7,31276,20,11977,0.009969604314229795,,0.12470504399971105,0.6427215403354363,0.19102196395397186,0.6920764799198463,0.725850202739596,0.8265152661628151,0.8538960674664064,0.7176184370759334,0.15252590233626007,0.4443299174308777,0.11914502797027636,0.5293479168406112
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,30,7,31276,30,11967,0.015706429762618285,,0.18870518100084155,0.6545086485994499,0.19522526860237122,0.6926548007019303,0.7265089675862519,0.8268483952549693,0.8541982646934088,0.7178500982919338,0.164158382150794,0.4417552053928375,0.11882677362747555,0.5297902565388151
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,40,7,31276,40,11957,0.05549639712779562,,0.2528148780002084,0.7248021950961225,0.21998034417629242,0.6928159237266873,0.7268833629728959,0.8273058930056422,0.8546539269804531,0.7180920747236781,0.21857095807055482,0.42389729619026184,0.09969055783223217,0.5302333361211006
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,50,7,31276,50,11947,0.016626454725143288,,0.3164271000005101,0.6544595790631758,0.19511778652668,0.6929773164811249,0.726961449321227,0.8274161365085423,0.8546851211592057,0.7182927051942372,0.1646142204633871,0.441342294216156,0.11860718171926006,0.5306771574453838
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user10,user10,100,7,31276,100,11897,0.010476730307647583,,0.37822206000055303,0.6347962851374074,0.18779747188091278,0.6937883500042027,0.7278620274252725,0.8286732710395952,0.8558314778167955,0.7193262359615915,0.14661827382238704,0.44410231709480286,0.11725645120618643,0.532907455661091
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,10,7,31276,10,11987,0.0,,0.06301344299936318,0.47670325113080664,0.13953223824501038,0.8091265537665805,0.8009886744379022,0.8773894366283864,0.8014240655581629,0.8901409981615293,0.05989096048350787,0.45541468262672424,0.26245098857095184,0.46066572119796445
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,20,7,31276,20,11977,-0.010862642095529135,,0.12616662699838344,0.4901860473972379,0.14491865038871765,0.8098021207314019,0.8017004049360105,0.8776412771125011,0.8017136401082574,0.8903692940333001,0.08427553905823115,0.46036168932914734,0.14302412958169824,0.46105034649745347
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,30,7,31276,30,11967,-0.00788034642086891,,0.18808110599820793,0.48436482786186047,0.14249858260154724,0.8104788167460516,0.8023920991077247,0.8778966492829448,0.8020306738410505,0.8905784381685854,0.0747264972492343,0.4590035080909729,0.14272582936408457,0.46143561460683546
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,40,7,31276,40,11957,-0.0064599719092392135,,0.24804435099940747,0.48262365147576614,0.14176791906356812,0.8108221125700427,0.8027360817103809,0.8781018001389288,0.8022652428252844,0.890766023798358,0.07206688998275429,0.458356648683548,0.14251066320983524,0.46182152713891444
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,50,7,31276,50,11947,-0.002252705468248822,,0.30861816899960104,0.4783064748302551,0.14002341032028198,0.8109148740269524,0.8028504232322953,0.8783167247880974,0.8025303520239373,0.8909483073423267,0.06550568844829847,0.45644059777259827,0.26031639742194695,0.4622080857118942
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user11,user11,100,7,31276,100,11897,0.0043272833428254,,0.3708109429990145,0.4735396566572484,0.1380286067724228,0.8123056232663697,0.8042805113341651,0.8796028375737606,0.8042055311244813,0.8920159727635701,0.06059184392854956,0.4534439742565155,0.2586366310834664,0.4641506262082878
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user12,user12,10,7,31276,10,11987,0.0,,0.06172091899861698,0.5936219603312968,0.16573739051818848,0.7628263952615333,0.7314994831007047,0.8248991686416347,0.7471307917548343,0.8352331068248187,0.05131990465804743,0.42399007081985474,0.11545841328105448,0.38433302744640024
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user12,user12,20,7,31276,20,11977,0.0010856312469485292,,0.12525333799931104,0.593582942345178,0.16566987335681915,0.7629623444936128,0.7316871480386158,0.8251338041689396,0.7474163187615467,0.8353927572493169,0.05191361312240851,0.4235297739505768,0.11505385321866912,0.38465392001335896
responses_static,budget_size_est_rasch,fasttext,rasch_highbudget_var25,uniform_random,s_user12,user12,30,7,31276,30,11967,-0.05341003487375117,,0.18799095899885288,0.5911311254718354,0.16538533568382263,0.7671095512659815,0.7577031373692931,0.8253402275356081,0.7475975210315995,0.8356241840685734,0.048243694173819573,0.4466353952884674,0.24676192863708532,0.4824935238572742
