estimator,q,accuracy,balanced_accuracy
budget_adaptive_refined_raw_switch500,10,0.7944439809793944,0.7709809618011251
budget_adaptive_refined_raw_switch500,20,0.791871921182266,0.769829584746791
budget_adaptive_refined_raw_switch500,30,0.7836028244338598,0.7737393431728099
budget_adaptive_refined_raw_switch500,40,0.7803274232667057,0.7754268733702253
budget_adaptive_refined_raw_switch500,50,0.7865782204737591,0.7749076904804427
budget_adaptive_refined_raw_switch500,100,0.7881924014457427,0.7851432412225343
neural_memory_mirt_n2c_rate35,10,0.7619713022440978,0.7873874890959828
neural_memory_mirt_n2c_rate35,20,0.7638390247975286,0.7882921191824401
neural_memory_mirt_n2c_rate35,30,0.7595888693908248,0.787274277853036
neural_memory_mirt_n2c_rate35,40,0.7567429121016978,0.786563921438232
neural_memory_mirt_n2c_rate35,50,0.7615928685025529,0.7886689536200162
neural_memory_mirt_n2c_rate35,100,0.7609376313356309,0.7889860907700758
neural_n2c_svd_ftkernel_hybrid_w20_55_25,10,0.7620964378076249,0.7793313635931782
neural_n2c_svd_ftkernel_hybrid_w20_55_25,20,0.7648305084745762,0.7827270225066231
neural_n2c_svd_ftkernel_hybrid_w20_55_25,30,0.7612287958552686,0.7823302791219755
neural_n2c_svd_ftkernel_hybrid_w20_55_25,40,0.756335201137409,0.7812684012753166
neural_n2c_svd_ftkernel_hybrid_w20_55_25,50,0.7618439775675903,0.7827533787203715
neural_n2c_svd_ftkernel_hybrid_w20_55_25,100,0.7590148777002605,0.7835547312530808
refined_q1000_raw_w290_500_130_080_bias_p015,10,0.797405522649537,0.7685411909351844
refined_q1000_raw_w290_500_130_080_bias_p015,20,0.7917675544794189,0.7695873466525701
refined_q1000_raw_w290_500_130_080_bias_p015,30,0.7848667168045458,0.7728380424058549
refined_q1000_raw_w290_500_130_080_bias_p015,40,0.7803274232667057,0.7754268733702253
refined_q1000_raw_w290_500_130_080_bias_p015,50,0.790051895873441,0.7735543371853466
refined_q1000_raw_w290_500_130_080_bias_p015,100,0.7924266621837438,0.7805948770434598
