estimator,q,balanced_accuracy,accuracy,nll,brier,auroc
user_similarity_knn_k8_s30_p10_t08_b0_r25,50,0.7374179170245055,0.7806196116179794,0.8989909490789022,0.15980211598798633,0.8729023707668322
user_similarity_knn_k12_s50_p10_t08_b0_r25,50,0.7374179170245055,0.7806196116179794,0.8989909505832481,0.1598021169193089,0.8729007331687715
user_similarity_knn_k5_s20_p10_t1_b0_r25,50,0.7307359469127943,0.7776324600318072,0.8153426573176635,0.15896212682127953,0.8726102516880276
user_similarity_knn_k8_s30_p10_t08_b0_r50,50,0.7216671363479037,0.7838212521972043,0.9054080432428944,0.1615397073328495,0.8719408524408205
user_similarity_knn_k12_s50_p10_t08_b0_r50,50,0.7216671363479037,0.7838212521972043,0.9054080438163596,0.16153970826417208,0.8719391499403285
user_similarity_knn_k5_s20_p10_t1_b0_r50,50,0.7049673302956241,0.7774388967941743,0.8230801124822411,0.1614151382818818,0.8726101889070554
user_similarity_knn_k12_s50_p10_t08_b0_r75,50,0.6963133085838052,0.7773342680170754,0.9190167782994787,0.16586068598553538,0.8712477977964519
user_similarity_knn_k8_s30_p10_t08_b0_r75,50,0.6963133085838052,0.7773342680170754,0.9190167796614296,0.16586068645119667,0.8712497038652106
user_similarity_knn_k5_s20_p10_t1_b0_r75,50,0.6786278683585322,0.76642671800452,0.8398192773193426,0.1667893100529909,0.8726102127229378
user_similarity_knn_k8_s30_p10_t08_b0_r25,100,0.72545138101507,0.7815205513995125,0.9096020447438679,0.16248970059677958,0.8712597509184932
user_similarity_knn_k12_s50_p10_t08_b0_r25,100,0.72545138101507,0.7815205513995125,0.9096020452687366,0.16248970152810216,0.8712606062240872
user_similarity_knn_k5_s20_p10_t1_b0_r25,100,0.7213648807261437,0.7830440447171556,0.807498486869091,0.15914958156645298,0.8710456761595803
user_similarity_knn_k8_s30_p10_t08_b0_r50,100,0.6972143523641559,0.7761673110868286,0.9219296547259516,0.16565811540931463,0.8698323975857812
user_similarity_knn_k12_s50_p10_t08_b0_r50,100,0.6972143523641559,0.7761673110868286,0.9219296558613342,0.16565811447799206,0.8698331743460225
user_similarity_knn_k5_s20_p10_t1_b0_r50,100,0.6794522765477079,0.7737244683533664,0.8213460521246471,0.1632771296426654,0.8710456664785554
user_similarity_knn_k8_s30_p10_t08_b0_r75,100,0.6659748679094496,0.7705041186853828,0.9451527388354465,0.1722245654091239,0.8694630689437602
user_similarity_knn_k12_s50_p10_t08_b0_r75,100,0.6659748679094496,0.7705041186853828,0.9451527392559426,0.17222456634044647,0.8694639484656475
user_similarity_knn_k5_s20_p10_t1_b0_r75,100,0.6532767422499657,0.763963604269984,0.8479743468349656,0.1711527230218053,0.87104566132536
user_similarity_knn_k12_s50_p10_t08_b0_r25,200,0.7219300520894789,0.7831016360091548,0.9821118606968664,0.16542112221941352,0.8739853500593769
user_similarity_knn_k8_s30_p10_t08_b0_r25,200,0.7219300520894789,0.7831016360091548,0.9821118622767544,0.1654211231507361,0.8739863657454328
user_similarity_knn_k5_s20_p10_t1_b0_r25,200,0.715857625499504,0.7827413749258286,0.8879225034395762,0.16339809074997902,0.8733053362525994
user_similarity_knn_k12_s50_p10_t08_b0_r50,200,0.687781010788466,0.776839450707807,0.9971701995090438,0.16955016739666462,0.8733114656560489
user_similarity_knn_k8_s30_p10_t08_b0_r50,200,0.687781010788466,0.776839450707807,0.997170203641508,0.16955017019063234,0.8733122753106428
user_similarity_knn_k5_s20_p10_t1_b0_r50,200,0.664939006372603,0.771679240484869,0.9055944008101455,0.16890340251848102,0.8733053559995911
user_similarity_knn_k12_s50_p10_t08_b0_r75,200,0.6597124340923282,0.7681719928795456,1.0257495848344118,0.17761842161417007,0.8724111637946503
user_similarity_knn_k8_s30_p10_t08_b0_r75,200,0.6597124340923282,0.7681719928795456,1.0257495886703212,0.1776184239424765,0.8724120608550755
user_similarity_knn_k5_s20_p10_t1_b0_r75,200,0.6500054580093736,0.764182631177418,0.9381817582237328,0.17839461797848344,0.8733051660284394
