model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_budget_adaptive_refined_raw_user_discriminative_rich,100,0.8193452130789275,0.785181341494161,0.4195544752013301,0.1322769210673868,0.8849169560828796,0.4636170121875693,16
neural_memory_mirt_rasch_voteuser_grid_80_20_user_discriminative_rich,100,0.8188566445322351,0.7857754224581366,0.4202700765787552,0.1321632793601436,0.8848754724731496,0.4558242091252396,16
neural_memory_mirt_rasch_voteuser_hybrid_w85_15_user_discriminative_rich,100,0.8187883500042027,0.7863752538572578,0.4212573289423484,0.1320632126910094,0.8848389177744772,0.5197160464381341,16
neural_memory_mirt_rasch_voteuser_hybrid_w85_15_user_discriminative_l2,100,0.8186675212238379,0.7862758888411145,0.4212166679777349,0.1320589714990606,0.8848108957434856,0.5211197971871115,16
neural_memory_mirt_rasch_voteuser_hybrid_w90_10_user_discriminative_l2,100,0.8184783979154409,0.7867022217822158,0.4230905091533901,0.1320014487606487,0.8847989099594252,0.4538380748119834,16
neural_memory_mirt_rasch_voteuser_hybrid_w75_25_user_discriminative_l2,100,0.8184468773640413,0.7878425944834941,0.4197718105439457,0.13229771487066,0.8848878259309856,0.4726669070623757,16
neural_memory_mirt_rasch_voteuser_hybrid_w90_10_user_discriminative_rich,100,0.8184363705135749,0.7866840445650726,0.4231294019139223,0.132004327645104,0.8848271341742497,0.4536302009373684,16
neural_memory_mirt_rasch_voteuser_hybrid_w75_25_user_discriminative_rich,100,0.8184258636631083,0.7878446517651907,0.4198148265303817,0.1323045264053032,0.8849157384875598,0.4549716180617906,16
neural_memory_mirt_rasch_voteuser_grid_65_35_user_discriminative_rich,100,0.8181264184248129,0.7874401079233342,0.4199216815407146,0.1327105616236992,0.8849673810815735,0.4618180220627437,16
neural_memory_mirt_rasch_voteuser_grid_70_30_user_discriminative_rich,100,0.8181054047238799,0.7878543757069394,0.4197284434239435,0.1324869534839983,0.8849421859717385,0.4607354099380245,16
neural_memory_mirt_rasch_voteuser_grid_60_40_user_discriminative_rich,100,0.8179162814154829,0.7879508376346402,0.4203403279384056,0.1329753475555918,0.8849970781068452,0.4563613203122258,16
neural_memory_mirt_rasch_twopl_voteuser_grid_50_30_20_user_discriminative_rich,100,0.8171702950323612,0.7875533869943351,0.4200681504087735,0.1322588792919964,0.8848737416373662,0.461533310187633,16
neural_memory_mirt_rasch_highbudget_user_discriminative_l2,100,0.8171387744809616,0.7859737835369418,0.4442561701306283,0.1320100960335898,0.8826474266937375,0.4675431211874183,16
neural_memory_mirt_rasch_highbudget_user_discriminative_rich,100,0.8171387744809616,0.7859737835369418,0.4442561701306283,0.1320100960335898,0.8826474266937375,0.4471322878748651,16
neural_memory_mirt_rasch_voteuser_kernel_hybrid_w80_15_05_user_discriminative_rich,100,0.8170599731024628,0.7876094741199932,0.4216954482970372,0.132416998579451,0.884921483628347,0.4685898351876857,16
neural_memory_mirt_rasch_voteuser_kernel_hybrid_w80_15_05_user_discriminative_l2,100,0.8169916785744306,0.787566794508587,0.4216541300488777,0.1324163063993176,0.8848692740660102,0.4733969366870951,16
neural_memory_mirt_rasch_twopl_voteuser_grid_55_30_15_user_discriminative_rich,100,0.8168708497940658,0.7873104309588227,0.4211102852196293,0.1321703743309369,0.884838978800844,0.4468358072497266,16
neural_memory_mirt_rasch_twopl_voteuser_grid_50_35_15_user_discriminative_rich,100,0.8166344456585694,0.7873624207095758,0.4211039224251087,0.1321949559628164,0.8848391184525766,0.4588536171872874,16
neural_memory_mirt_rasch_twopl_voteuser_grid_45_35_20_user_discriminative_rich,100,0.8163875346726065,0.7891975136262419,0.4200522855336318,0.1322815326022571,0.8848725252650598,0.4550299072498092,16
neural_memory_mirt_rasch_twopl_voteuser_hybrid_w45_40_15_user_discriminative_rich,100,0.8163192401445742,0.7873454351177084,0.421102893283602,0.1322214573070635,0.8848389366065526,0.4734999369995875,16
neural_memory_mirt_rasch_twopl_voteuser_hybrid_w45_40_15_user_discriminative_l2,100,0.816292973018408,0.7873271548057044,0.4210609964428559,0.1322171737106822,0.8848109652642955,0.4986409412504144,16
neural_memory_mirt_rasch_twopl_voteuser_grid_40_40_20_user_discriminative_rich,100,0.8162036647894427,0.7893592760030597,0.4200416362916273,0.1323061078491756,0.884870159317223,0.4644117122493298,16
neural_memory_mirt_rasch_twopl_voteuser_grid_40_45_15_user_discriminative_rich,100,0.8159672606539463,0.7874833176736761,0.4211072514243492,0.1322498788743485,0.8848392913800467,0.4608499373123322,16
neural_memory_mirt_rasch_twopl_voteuser_grid_35_50_15_user_discriminative_rich,100,0.8157571236446163,0.7874978519019363,0.4211170565190597,0.1322802206985525,0.88483922997185,0.4605274781874868,16
neural_memory_mirt_rasch_twopl_voteuser_grid_35_45_20_user_discriminative_rich,100,0.8156573085651845,0.7896658019293831,0.4200362660493675,0.1323326016766802,0.884868994918391,0.4555900628126892,16
neural_memory_mirt_rasch_twopl_voteuser_grid_30_50_20_user_discriminative_rich,100,0.8153158359250231,0.7898838505693797,0.4200362232426889,0.1323610173639796,0.8848668322931786,0.4578985262498918,16
neural_memory_mirt_twopl_highbudget_user_discriminative_l2,100,0.8152160208455913,0.7871384470197003,0.4524410138671013,0.1327517540194093,0.8826474266937375,0.4349959286246303,16
neural_memory_mirt_twopl_highbudget_user_discriminative_rich,100,0.8152160208455913,0.7871384470197003,0.4524410138671013,0.1327517540194093,0.8826474266937375,0.4361425479380614,16
neural_memory_mirt_twopl_voteuser_hybrid_w85_15_user_discriminative_rich,100,0.8141495755232412,0.790023615173937,0.4213436416797155,0.132546380162239,0.8848352987123943,0.4411433292500533,16
neural_memory_mirt_twopl_voteuser_hybrid_w85_15_user_discriminative_l2,100,0.8141285618223082,0.7900274083235487,0.4213001182184187,0.1325420485809444,0.8848071546543336,0.4463180277498395,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_legacy,100,0.8138186097335462,0.7876733833080176,0.4327018477089497,0.1377444132231175,0.8833741171695602,0.5433935896244293,16
neural_memory_mirt_rasch_kernel_hybrid_w85_15_user_discriminative_l2,100,0.8126103219298982,0.7883621421844317,0.4338055700643862,0.1332939551804822,0.8845316982459992,0.4490344408134205,16
neural_memory_mirt_rasch_kernel_hybrid_w85_15_user_discriminative_rich,100,0.8125525342523325,0.7883143093386598,0.4340280027658659,0.1332835103708643,0.8845664584601021,0.4500452976872111,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_l2,100,0.8097577120282424,0.787605703651931,0.4365165306824662,0.1393453343771397,0.8831166936202053,0.4791581475628845,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich,100,0.8096316298226444,0.7874336423250212,0.436560679340401,0.139364865142852,0.8831718459730193,0.4869132631870343,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_freq,100,0.8095265613179793,0.7865860882521652,0.4363411866519031,0.1393150067888199,0.8829653311080343,0.4789877271248315,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_40_40_20_user_discriminative_rich,100,0.777780112633437,0.7966117138605799,0.4815779540415315,0.1541561232879757,0.8848701635232837,0.4435029384999325,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_35_45_20_user_discriminative_rich,100,0.7777275783811045,0.7965936123989088,0.4815941319127198,0.1541768694296479,0.8848689917994498,0.4629637656250907,16
neural_memory_mirt_accuracy_threshold_rasch_twopl_voteuser_grid_30_50_20_user_discriminative_rich,100,0.7776487770026057,0.7965673185567287,0.4816152325778473,0.1541988803073763,0.8848668269163388,0.461888073750515,16
neural_memory_mirt_ft_kernel_user_discriminative_rich,100,0.7768292426662183,0.8027611277295681,0.4915943105173243,0.1574528263881802,0.8845953766490816,0.4674162843746216,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_rich,100,0.7767189207363201,0.8026619292917047,0.4919542468414411,0.1574947852641343,0.8845672683894349,0.4683276105001823,16
neural_memory_mirt_ft_kernel_user_discriminative_l2,100,0.7767031604606203,0.8024405484005348,0.4916896110380059,0.1575571317225694,0.8844558744248081,0.4986445331255709,16
neural_memory_mirt_ft_kernel_user_discriminative_freq,100,0.7766716399092208,0.8026516223244822,0.4916772766837171,0.1575820036232471,0.8841569494072501,0.4905202489999283,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_l2,100,0.776571824829789,0.8025152252231078,0.4919978362776158,0.1575974356383085,0.8845294320479988,0.4759874218748336,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_freq,100,0.7763879549466252,0.8026840150456848,0.4922090567388985,0.1576744634658098,0.8841046215223536,0.45957813693758,16
neural_memory_mirt_ft_kernel_user_discriminative_legacy,100,0.7760464823064638,0.8020031475205347,0.4909546976604371,0.1574292015284299,0.8840769123177193,2.0055663573123184,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_freq,100,0.7577488022190468,0.7747631834088672,0.4901095886875944,0.158408336341381,0.8490516813965643,0.4627975158130084,16
