model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_legacy,100,0.8138186097335462,0.7876733833080176,0.4327018477089497,0.1377444132231175,0.8833741171695602,0.5433935896244293,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_l2,100,0.8097577120282424,0.787605703651931,0.4365165306824662,0.1393453343771397,0.8831166936202053,0.4791581475628845,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich,100,0.8096316298226444,0.7874336423250212,0.436560679340401,0.139364865142852,0.8831718459730193,0.4869132631870343,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_freq,100,0.8095265613179793,0.7865860882521652,0.4363411866519031,0.1393150067888199,0.8829653311080343,0.4789877271248315,16
neural_memory_mirt_ft_kernel_user_discriminative_rich,100,0.7768292426662183,0.8027611277295681,0.4915943105173243,0.1574528263881802,0.8845953766490816,0.4674162843746216,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_rich,100,0.7767189207363201,0.8026619292917047,0.4919542468414411,0.1574947852641343,0.8845672683894349,0.4683276105001823,16
neural_memory_mirt_ft_kernel_user_discriminative_l2,100,0.7767031604606203,0.8024405484005348,0.4916896110380059,0.1575571317225694,0.8844558744248081,0.4986445331255709,16
neural_memory_mirt_ft_kernel_user_discriminative_freq,100,0.7766716399092208,0.8026516223244822,0.4916772766837171,0.1575820036232471,0.8841569494072501,0.4905202489999283,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_l2,100,0.776571824829789,0.8025152252231078,0.4919978362776158,0.1575974356383085,0.8845294320479988,0.4759874218748336,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_freq,100,0.7763879549466252,0.8026840150456848,0.4922090567388985,0.1576744634658098,0.8841046215223536,0.45957813693758,16
neural_memory_mirt_ft_kernel_user_discriminative_legacy,100,0.7760464823064638,0.8020031475205347,0.4909546976604371,0.1574292015284299,0.8840769123177193,2.0055663573123184,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_freq,100,0.7577488022190468,0.7747631834088672,0.4901095886875944,0.158408336341381,0.8490516813965643,0.4627975158130084,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_rich,100,0.757670000840548,0.7738129465771185,0.4901782126929903,0.1583916675299405,0.8494672249640282,0.4541830363746157,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_l2,100,0.7552849457846517,0.7696083216312483,0.4911965198854435,0.1588135818019509,0.8482326129709059,0.4601100945001235,16
