dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8,model
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user0,user0,100,15,31276,100,11897,0.0,,0.4536609780006984,0.6178350224730939,0.2183612883090973,0.5943515171892073,0.5760872257514316,0.6553624778224171,0.3127759876820989,0.8805150695737918,0.20496236516409028,0.476647287607193,0.17785996469698243,0.30545515676220897,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user0,user0,1000,15,31276,1000,10997,-0.014043091783609586,,1.0316059360011423,0.5684102671850237,0.19702289998531342,0.6208966081658635,0.5706686183245228,0.6588597845153099,0.31272053747803796,0.8826278450245496,0.1705477299517454,0.48334088921546936,0.30226425388742384,0.31317632081476765,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user1,user1,100,15,31276,100,11897,0.0,,0.4447591830030433,0.4127778706843291,0.127481147646904,0.8188618979574682,0.8192045383862887,0.9021177345388952,0.9011584877770191,0.8998406820311906,0.03811852842559331,0.3379978835582733,0.09607464066571404,0.6788265949399008,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user1,user1,1000,15,31276,1000,10997,-0.10150126171302529,,1.0208457100015949,0.3812063549210104,0.11622925102710724,0.8395016822769846,0.8395666582377337,0.9139682172330527,0.9099916215723631,0.9087979705723046,0.023146848949132274,0.37230509519577026,0.11148495044102937,0.632627080112758,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user10,user10,100,15,31276,100,11897,0.0,,0.5165208270009316,0.5065437484206217,0.15722143650054932,0.7788518113810204,0.7841671267462846,0.864180343578947,0.8937681539446293,0.8111178969530739,0.1009584834638379,0.4228675365447998,0.14608724888627386,0.5573674035471127,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user10,user10,1000,15,31276,1000,10997,-0.00565385493633132,,1.1290580330023658,0.5069184776735709,0.1494607776403427,0.8022187869418932,0.809481294469784,0.8842130461025784,0.907253172954541,0.8314504186687921,0.13296577563470216,0.4252583682537079,0.12394289351641356,0.5558788760571065,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user11,user11,100,15,31276,100,11897,0.0,,0.4463583689976076,0.41135504639213055,0.12863978743553162,0.8167605278641674,0.8201986700345378,0.9006494885597932,0.8571012315420987,0.9282035354746387,0.05693860525136797,0.3369869589805603,0.09010674960073968,0.6854669244347315,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user11,user11,1000,15,31276,1000,10997,-0.25741624560044984,,1.0351476760006335,0.4438764326461948,0.13639113306999207,0.8214058379558061,0.8295003568028655,0.8739452944284639,0.779331009602454,0.9175656945562204,0.054446182301545916,0.4237328767776489,0.21187596617259252,0.47249249795398746,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user12,user12,100,15,31276,100,11897,0.0,,0.4506305370014161,0.5857555612528241,0.1772516816854477,0.7589308228965286,0.7654439085952761,0.8443184865585038,0.794482206902053,0.8730063088971596,0.12249973584885526,0.3134956955909729,0.08413885853576532,0.7116920231991258,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_svd_reranker,uniform_random,s_user12,user12,1000,15,31276,1000,10997,-0.07757332565211894,,1.0272079579990532,0.5247824335286668,0.15752172470092773,0.7826680003637355,0.7908149866024552,0.8601937888081576,0.7997887931120602,0.8847906284890021,0.09502755455124635,0.337814599275589,0.08938801491315813,0.7128307720287351,neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2
