dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8,model
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user0,user0,100,15,31276,100,11897,0.0,,0.5055672390008112,0.49905097792094516,0.16375643014907837,0.7654870975876271,0.7437289418289887,0.8238552016940205,0.571718978626094,0.9336605447024008,0.15742127747351886,0.5006790161132812,0.1972766243590821,0.4549886526014962,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user0,user0,1000,15,31276,1000,10997,0.08325125,,1.0292265530006262,0.4722635264700145,0.1510392129421234,0.7967627534782213,0.7617121808851132,0.8481648982217631,0.6280067174890881,0.9444828641174929,0.13478442012987277,0.45899686217308044,0.18814222060561972,0.5394198417750296,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user1,user1,100,15,31276,100,11897,0.0,,0.5022030119980627,0.4472393674983163,0.14189811050891876,0.8102042531730689,0.811550521071887,0.9013141444299311,0.8985345816347694,0.8999870016381377,0.10849011204889406,0.5488249659538269,0.22039169538539127,0.295536689921829,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user1,user1,1000,15,31276,1000,10997,0.029449849610464224,,1.0252777889982099,0.41024173590177426,0.12573739886283875,0.8494134764026553,0.8494289397950565,0.9209152061257831,0.9163243636453724,0.9181579689903492,0.11584079594932231,0.5326621532440186,0.20060016368100392,0.34327543875602434,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user10,user10,100,15,31276,100,11897,0.0,,0.47322530599922175,0.46420497004459965,0.14948652684688568,0.7938135664453223,0.7963746606637649,0.877402444776504,0.9116212684231998,0.8268978255634568,0.09127080680252453,0.5492756962776184,0.22207279146003195,0.30133647137933933,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user10,user10,1000,15,31276,1000,10997,0.03066297122497251,,0.9718739269992511,0.43771106957337513,0.13784657418727875,0.8234973174502137,0.8255367963487644,0.8953499194297171,0.9245829250353577,0.8444209196648435,0.10157115945067959,0.532433271408081,0.17122851686823679,0.33700100027280167,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user11,user11,100,15,31276,100,11897,0.0,,0.48931025199999567,0.43287018554895385,0.1363019496202469,0.8169286374716315,0.8025808104983321,0.895621438513031,0.8467770043862078,0.9256822899246103,0.08768851088507593,0.5358298420906067,0.2270320248802219,0.3646297385895604,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user11,user11,1000,15,31276,1000,10997,0.04103191941295698,,0.9709999500009872,0.411005222019669,0.12800151109695435,0.8287714831317632,0.8161312260524589,0.9090969353038112,0.8601599820726731,0.9347293163650356,0.09063653682317149,0.5138437151908875,0.2190597435664272,0.4204783122669819,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user12,user12,100,15,31276,100,11897,0.0,,0.4938561220005795,0.49811592546594086,0.16328877210617065,0.7645624947465748,0.7682337603922298,0.8453299479948481,0.7900266131771194,0.877599195306835,0.0758029507598206,0.5355204343795776,0.21190216020845593,0.3524417920484156,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
responses_static,neural_split_eval_user_discriminative,fasttext,vote_userlogreg_hybrid_w75_25,uniform_random,s_user12,user12,1000,15,31276,1000,10997,0.027997197853824936,,0.9839950470013719,0.4632066488577377,0.14848265051841736,0.7949440756569973,0.7990281986548385,0.870161696768505,0.8225507114949774,0.8952545983925029,0.07171042921912336,0.5205273628234863,0.1895971628625989,0.38728744202964444,neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich
