dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8,model
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user0,user0,100,15,31276,100,11897,0.0,,0.5551799999993818,0.8507031005343014,0.17058680951595306,0.7680927965033202,0.7414942527384195,0.822545925771772,0.569266528127476,0.9321860831316676,0.15409886517739751,0.41553714871406555,0.17517021097755736,0.5247541396990838,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user0,user0,1000,15,31276,1000,10997,0.9999316339387213,1000.0,1.441461980000895,2.614268565627712,0.20041701197624207,0.7995817041011185,0.6883399801106849,0.7842836056726454,0.5170486737473322,0.8859994959625614,0.20041623663724345,2.8408638172550127e-05,0.0,1.0,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user1,user1,100,15,31276,100,11897,0.0,,0.6003559939999832,0.43602076719045124,0.13559354841709137,0.8140707741447424,0.8153022583068997,0.9026983315856711,0.8997769349129452,0.8990739255174338,0.0841778854876218,0.493522047996521,0.189375472808271,0.39304026225098765,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user1,user1,1000,15,31276,1000,10997,0.8632813868143266,1000.0,1.5855612820014358,1.1750871525034852,0.20573744177818298,0.787032827134673,0.7850075058936599,0.9121374756577011,0.9095980316451666,0.9065789687854806,0.19439956121098578,0.0674736499786377,0.0,1.0,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user10,user10,100,15,31276,100,11897,0.0,,0.5958133599997382,0.4673625330131075,0.14706982672214508,0.7942338404639825,0.7956557728902756,0.8722789405244971,0.9042641712928432,0.8178953692624787,0.06119323204152271,0.49337977170944214,0.18744221232243422,0.39833571488610575,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user10,user10,1000,15,31276,1000,10997,0.31901704117612734,,1.5897224040018045,0.7854978309680478,0.2369755357503891,0.6199872692552514,0.673916431392735,0.865234260043987,0.8972757265418719,0.810872527554741,0.2619655638736026,0.3359832167625427,0.10166409020641994,0.6167136491770483,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user11,user11,100,15,31276,100,11897,0.0,,0.5155141420000291,0.45048265511765556,0.13191400468349457,0.818189459527612,0.8128332144970172,0.8958755402574665,0.8447768243259496,0.9253661424474747,0.062173028053421314,0.4648514688014984,0.21207026981591998,0.44431369252752795,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user11,user11,1000,15,31276,1000,10997,0.9976024452296304,1000.0,1.5091545010000118,2.503795275013135,0.26247426867485046,0.7373829226152587,0.6860013209985324,0.8891140779526167,0.8358393583295178,0.9118588468242419,0.2624910805587525,0.0011145068565383554,0.0,1.0,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user12,user12,100,15,31276,100,11897,0.0,,0.6492172699981893,0.559613121143697,0.16342203319072723,0.7613684122047575,0.7645158779622101,0.8432223517013451,0.7870467952855658,0.8729980857626416,0.07675687439167932,0.4572625756263733,0.18071782802387157,0.4854164915524922,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user12,user12,1000,15,31276,1000,10997,0.8923478392949157,1000.0,1.6419735919989762,1.3566293369578208,0.26598188281059265,0.7219241611348549,0.670925180889824,0.8598509091531106,0.8016416308904926,0.8857405137363719,0.2674239853635326,0.049225304275751114,0.0,1.0,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user13,user13,100,15,31276,100,11897,0.0,,0.6434439440017741,0.7827841090364609,0.16234606504440308,0.7740606875682945,0.8233913583905836,0.895166512539405,0.6133277971191193,0.9731867532264089,0.22263420176086948,0.400560587644577,0.15155081112885602,0.5368580314364966,count_only_t20_pb0
responses_static,count_vote_sweep,fasttext,count_vote_t20_pb0_m60,uniform_random,s_user13,user13,1000,15,31276,1000,10997,0.9263142919470085,1000.0,1.6546230029998696,1.466955773910903,0.19441013038158417,0.7995817041011185,0.7231746482400668,0.8728086926858546,0.5626832354478848,0.9597207471884749,0.19403350760695653,0.029515590518712997,0.0,1.0,count_only_t20_pb0
