run,q,balanced_accuracy,accuracy,nll,brier,auroc
hybrid_w50_50_userdisc,50,0.8043036062316871,0.7861963254373483,0.46954448160480516,0.15213330835103983,0.8824933727472472
hybrid_w70_30_userdisc,50,0.8041908280580172,0.7840514355068218,0.47711358452004954,0.15460745617747304,0.8829269906376102
hybrid_w30_70_userdisc,50,0.8027991819604966,0.7884353812672638,0.4629862391436023,0.15009192470461127,0.8820512022657024
neural_n2c_rate35_userdisc,50,0.8009550768884903,0.7763402946346363,0.4910673442547585,0.15974511206150052,0.8817369870564579
neural_n2c_rate35_difficulty,50,0.8007926524959008,0.7840409726291119,0.4817411498618878,0.15579780656844375,0.8813149079295018
svd_threshold_userdisc,50,0.7887221346688379,0.7596310789319495,0.48778663163384256,0.15885389223694796,0.8792787153327428
calibrated_prior_difficulty,50,0.7855271997872352,0.7348288273206661,0.541851284720909,0.18127963722993923,0.8812568360919868
svd_userdisc,50,0.7313532147911723,0.8005819103819648,0.4673252232689327,0.1431937990128062,0.862921676204468
svd_difficulty,50,0.702618109215837,0.7787271386122039,0.5196373481849427,0.15120121788155905,0.8476538497906305
hybrid_w50_50_userdisc,100,0.8062543958556591,0.7859754559973102,0.47062338590018005,0.1526204282417893,0.8841882445486682
hybrid_w30_70_userdisc,100,0.8059938667788825,0.7884235521560057,0.4639394256873647,0.15053739491850135,0.884478352690732
hybrid_w70_30_userdisc,100,0.8057488620507829,0.7831491132218207,0.47839439671523404,0.15518597885966298,0.8842022366695486
neural_n2c_rate35_difficulty,100,0.8021974722249053,0.7923426073800117,0.4727451644288445,0.15205935481935737,0.881906546909553
neural_n2c_rate35_userdisc,100,0.8014818715172137,0.7759781877784315,0.4909081665419641,0.1597208911553025,0.8824622286896053
calibrated_prior_difficulty,100,0.7881972263915809,0.7379171219635202,0.5409988978815523,0.180905087540547,0.8817223287807846
svd_threshold_userdisc,100,0.7835503245444038,0.7489913423552156,0.4966875859995264,0.16484216973185534,0.8832742732191003
svd_userdisc,100,0.7555120187005407,0.8100221344316494,0.4481040862816564,0.1418808875023387,0.8732809087888983
svd_difficulty,100,0.6799903549497245,0.7740348582275643,0.5093336121943887,0.1531142147723585,0.840840243092889
hybrid_w30_70_userdisc,200,0.8104752185493027,0.7926432567601933,0.4590261916485525,0.14845101442188022,0.8869894098364398
hybrid_w50_50_userdisc,200,0.8099116428732774,0.7895439518521659,0.4664350607405406,0.1508352337405085,0.8865890657455823
hybrid_w70_30_userdisc,200,0.8089996109632562,0.7859678308044418,0.4751043734254362,0.1537783714011311,0.8863870932298832
neural_n2c_rate35_userdisc,200,0.8050397286882813,0.7782698991268967,0.489088706763044,0.15888999961316583,0.8848283541947115
neural_n2c_rate35_difficulty,200,0.8039144488577716,0.7955200474696957,0.469264928906189,0.1505798893049359,0.883024607139387
calibrated_prior_difficulty,200,0.7936432434378163,0.7441722471814868,0.5391900991847721,0.180060484757026,0.8826439155737026
svd_threshold_userdisc,200,0.7835642741326537,0.7466040094939391,0.4951310782028936,0.1645876890979707,0.8864508048644839
svd_userdisc,200,0.7503117090178736,0.8145984325110903,0.4429158624884116,0.13871219092591972,0.8805789270377327
svd_difficulty,200,0.6526518149208645,0.756081613263259,0.5162931512887511,0.1600470819394104,0.8234265194192777
