estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
twopl_irt_online_baseline,100,0.7871384470197003,0.8152160208455913,0.45244100876770726,0.13275175262242556,0.8826474266937375,0.4350845914999866
grouped_residual_irt_anchor_cosine_g16_t010_rp200,100,0.7864542260318933,0.8179425485416492,0.4439681301402245,0.1318995954019051,0.8847484251827986,0.45419021218754096
grouped_residual_irt_anchor_cosine_g16_t010_rp100,100,0.7864485748270532,0.8179320416911826,0.4439691834994427,0.13190009488150845,0.8847443351780196,0.45512204612506935
grouped_residual_irt_anchor_cosine_g16_t010_rp300,100,0.7864455208672472,0.8179320416911826,0.44396853154901944,0.13189969261714887,0.8847519627603718,0.4369995333750012
grouped_residual_irt_anchor_cosine_g16_t015_rp100,100,0.786425540871727,0.8178269731865176,0.44404125814218676,0.13192837528928247,0.8847586429422964,0.43340074981256294
grouped_residual_irt_anchor_cosine_g16_t015_rp300,100,0.7864131349558046,0.8178427334622174,0.4440316903916651,0.13192453135636603,0.8847485617440837,0.43523219112495326
grouped_residual_irt_anchor_cosine_g16_t015_rp200,100,0.7864108100508196,0.8178322266117508,0.4440340722898254,0.13192551369506186,0.8847508758232729,0.43429353100000867
grouped_residual_irt_anchor_cosine_g32_t010_rp300,100,0.7863975595712663,0.8177901992098848,0.4440606701259989,0.13193246776260842,0.8844286462228959,0.4373990886250567
grouped_residual_irt_anchor_cosine_g32_t010_rp200,100,0.786381774638988,0.8177481718080188,0.4440762425909194,0.13193853163638466,0.8844122726898316,0.437039753187463
grouped_residual_irt_anchor_cosine_g16_t005_rp100,100,0.7863704248744583,0.8179845759435151,0.4436903307583787,0.13178890359805884,0.8845014701259779,0.43901095625005837
grouped_residual_irt_anchor_cosine_g16_t005_rp200,100,0.7863704248744583,0.8179845759435151,0.4436897053897494,0.13178863206099437,0.8845024053789583,0.4504688591875379
grouped_residual_irt_anchor_cosine_g16_t005_rp300,100,0.7863704248744583,0.8179845759435151,0.44368955945578237,0.13178856621100812,0.88450304639016,0.45649094499998455
grouped_residual_irt_anchor_cosine_g32_t010_rp100,100,0.7863219222744995,0.817648356728587,0.44410277476534177,0.13194891853063745,0.8843621097584532,0.4364645519999897
grouped_residual_irt_anchor_cosine_g32_t005_rp100,100,0.786293995363106,0.8179425485416492,0.44401066171305925,0.13191132325798283,0.8838701070223215,0.43643129249997514
grouped_residual_irt_anchor_cosine_g32_t015_rp300,100,0.786253504199576,0.817543288223922,0.44407644399281726,0.1319396647772668,0.8846863743774841,0.43787108143752107
grouped_residual_irt_anchor_cosine_g32_t005_rp200,100,0.7862429178687104,0.8179005211397832,0.4440081355214427,0.13191025921832586,0.8838797305523969,0.4433972028749338
grouped_residual_irt_anchor_cosine_g32_t005_rp300,100,0.7862349741497442,0.8179005211397832,0.4440066602324405,0.13190965682590777,0.8838832914647838,0.4389141590625911
grouped_residual_irt_anchor_cosine_g32_t015_rp200,100,0.7861976072083183,0.81745923342019,0.4441000407782668,0.13194887968044192,0.884668479008628,0.4407660513124938
grouped_residual_irt_anchor_cosine_g32_t015_rp100,100,0.7860919031392983,0.8173016306631924,0.44413692424787127,0.13196330885628393,0.8846167529009694,0.44111605287503153
grouped_residual_irt_anchor_cosine_g64_t010_rp300,100,0.7860264122468142,0.8172385895603934,0.4441854024331283,0.13197905077435465,0.884095430952137,0.46062963693748316
grouped_residual_irt_anchor_cosine_g64_t010_rp200,100,0.7860235121250583,0.8172280827099269,0.4441943739933893,0.1319824983437949,0.8840327350103765,0.4557704086249714
grouped_residual_irt_anchor_cosine_g64_t010_rp100,100,0.7860101325202408,0.8172070690089939,0.4442049926590773,0.1319867572728821,0.8839408345859723,0.48133291325001437
grouped_residual_irt_anchor_cosine_g64_t015_rp200,100,0.785982370787701,0.8171492813314281,0.444214146463042,0.1319915898037407,0.8840590133289289,0.4666755401874809
grouped_residual_irt_anchor_cosine_g64_t015_rp300,100,0.7859758630825782,0.8171440279061948,0.44420637210955083,0.13198841777507272,0.8841229958869764,0.46375578337497814
rasch_irt_online_baseline,100,0.7859737835369418,0.8171387744809616,0.44425654511385315,0.1320100985467434,0.8826474266937375,0.44062172637492836
grouped_residual_irt_anchor_cosine_g64_t015_rp100,100,0.7859728213976669,0.8171387744809616,0.444223543883752,0.13199562657892053,0.8839866768127624,0.4589349451249234
grouped_residual_irt_anchor_cosine_g64_t005_rp100,100,0.7859089150350304,0.8173068840884257,0.44415073543633987,0.13196294324836902,0.8836669433550295,0.4455426347500975
grouped_residual_irt_anchor_cosine_g64_t005_rp200,100,0.7858958444991074,0.8172963772379591,0.4441467598586848,0.13196154332843638,0.8836904107948449,0.46748168043748706
grouped_residual_irt_anchor_cosine_g64_t005_rp300,100,0.785887998654267,0.8172911238127258,0.4441440149938287,0.1319605978439395,0.8837035296752653,0.4751121219999561
grouped_residual_irt_anchor_cosine_g16_t005_rp200,200,0.7905893296240147,0.8193608544545223,0.43799840612399016,0.12911361831996548,0.886791242757282,0.8981939546250146
