estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,strategy_family
l2_grouped_kmeans_fasttext_g12_t025_rp100,100,0.6597902564288874,0.5852525846852148,4.170404825474043,0.3735445933416486,0.7233178123818912,0.4059472310002547,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t025_rp100,100,0.6593743529346304,0.5849899134235521,4.170527070231194,0.3735965536907315,0.7232285601606352,0.4098020321250715,kmeans_fasttext
l2_grouped_kmeans_fasttext_g12_t010_rp100,100,0.6591263617962593,0.5851054887786837,4.170611773480101,0.3736108420416713,0.7231933797990511,0.4020764004994817,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t010_rp100,100,0.6590381093147873,0.5849688997226191,4.17060673942708,0.3736165715381503,0.7231839624496342,0.4059035312500327,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t025_rp100,100,0.6589593459512545,0.5845591325544255,4.171136468484933,0.3738267682492733,0.7227707158025777,0.400969900499831,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t010_rp100,100,0.6585743857380558,0.5847692695637555,4.171329459404969,0.3738808408379555,0.722667270077939,0.3895984683745155,kmeans_fasttext
l2_grouped_kmeans_fasttext_g12_t025_rp100,200,0.6399243778984343,0.5833580571331695,4.165140121064676,0.3734822254627943,0.724606297607023,0.8131077808754981,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t025_rp100,200,0.6396422138502041,0.5831567347630754,4.1653403748787765,0.3735664542764425,0.7244545405679457,0.815704780875194,kmeans_fasttext
l2_grouped_kmeans_fasttext_g12_t010_rp100,200,0.6390503702367407,0.58281766550818,4.165519881680954,0.3736182730644941,0.724447560597605,0.8055022646251473,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t010_rp100,200,0.6390013770525468,0.5827223022802408,4.165556677115678,0.3736417489126324,0.7244119013162523,0.8118432760002179,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t025_rp100,200,0.6389442993482234,0.5825527676527931,4.16614344562698,0.3738809581845999,0.7238634435561595,0.8020465566251005,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t010_rp100,200,0.638217446793351,0.582128931084174,4.166600374639971,0.374040755443275,0.7237576817329816,0.7840188956249676,kmeans_fasttext
l2_grouped_kmeans_fasttext_g12_t025_rp100,1000,0.6292765861089195,0.5830794762207875,4.146555287991827,0.3747663171961903,0.7331245096649072,1.2202086690003853,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t025_rp100,1000,0.6288671060822862,0.5827612076020733,4.14681381604854,0.3748711664229631,0.732900095625512,1.2277351330001238,kmeans_fasttext
l2_grouped_kmeans_fasttext_g16_t010_rp100,1000,0.6287994495059397,0.5827271073929253,4.146776519961955,0.3748309118673205,0.733178435343247,1.2187820182500673,kmeans_fasttext
l2_grouped_kmeans_fasttext_g12_t010_rp100,1000,0.6286906460213688,0.582545239610803,4.146841608885795,0.3748513264581561,0.7332161578553889,1.2094392917501864,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t025_rp100,1000,0.6278667045093111,0.5817950350095481,4.1484523646289935,0.3754985351115465,0.7317367230592596,1.2041087808750035,kmeans_fasttext
l2_grouped_kmeans_fasttext_g8_t010_rp100,1000,0.6273479494429937,0.5812835318723288,4.149112574196892,0.3757262211292982,0.7317839320525049,1.1758259643747806,kmeans_fasttext
l2_grouped_wordnet_supersense_all_synsets_g12_t010_rp100,100,0.6586284601046435,0.5851054887786837,4.171236775373236,0.3738176105543971,0.7228292707712695,0.403728409624982,wordnet_supersense
l2_grouped_wordnet_supersense_all_synsets_g16_t010_rp100,100,0.6584532778923976,0.5848112969656216,4.171361245498238,0.373865608125925,0.7227682095660417,0.4097392674999938,wordnet_supersense
l2_grouped_wordnet_supersense_all_synsets_g8_t010_rp100,100,0.6583767264879952,0.5850109271244852,4.171179887087628,0.3737973617389798,0.7228032283598047,0.3903260287500032,wordnet_supersense
l2_grouped_wordnet_supersense_first_synset_g8_t010_rp100,100,0.6579045140305122,0.58469572161049,4.171713229131136,0.374029784463346,0.7224674075525799,0.4043628079999948,wordnet_supersense
