dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8,model
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user0,user0,50,15,31276,50,11947,0.0,,0.1438572549996024,0.5344973754638865,0.1786787658929824,0.7339080940821964,0.7470861703014705,0.8253396077983592,0.566287246451772,0.9353884593923288,0.2039225811686457,0.5639789700508118,0.2317736670293797,0.292793169833431,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user0,user0,100,15,31276,100,11897,0.0054581501135542,,0.2915080490020045,0.5288501948312715,0.1763262152671814,0.7390938892157687,0.7493313039072034,0.827963778452023,0.5721102385637319,0.9363826464449282,0.2000417576402468,0.5609006881713867,0.2237538875346726,0.2975540052113978,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user0,user0,200,15,31276,200,11797,0.0044140787615975,,0.451522441002453,0.5331457323495531,0.1781193017959594,0.7333220310248368,0.7499133132221072,0.829608481341798,0.5726976492918714,0.9373950424575114,0.2052044253077933,0.5614895224571228,0.225820123760278,0.2955836229549886,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user1,user1,50,15,31276,50,11947,0.0,,0.1460233409998181,0.4625612767923207,0.1464970111846923,0.811500795178706,0.8108217030322442,0.8943792933765037,0.8932397506534444,0.8926416566848211,0.1136673786462655,0.5783624053001404,0.2573030886415,0.2369632543734829,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user1,user1,100,15,31276,100,11897,0.00117506282134,,0.2956628749998344,0.4619275837034826,0.1463160663843155,0.8124737328738337,0.8125240495762949,0.8944847228609526,0.8931917526686745,0.8929733950473429,0.1147350471034975,0.5776827931404114,0.2562830965789694,0.235017231234765,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user1,user1,200,15,31276,200,11797,-0.0006806954863138,,0.4567524319973017,0.459212808904329,0.1449366509914398,0.8157158599643978,0.815759912863302,0.8980409626442813,0.8966896875069661,0.8966749377465969,0.1181985881759664,0.5787560939788818,0.2563363567008561,0.2349749936424514,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user10,user10,50,15,31276,50,11947,0.0,,0.1468918409991602,0.5044342952580119,0.1653869897127151,0.7662174604503222,0.7775665881505542,0.8596487982147547,0.8974745115611427,0.80245534905236,0.1157355586275292,0.5793580412864685,0.2594793672051561,0.2358751150916548,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user10,user10,100,15,31276,100,11897,0.002800304320518,,0.2969209289985883,0.5052596198843263,0.1657918691635131,0.7638900563167185,0.7753526714720205,0.8577074851740755,0.8958726558493797,0.7989276805641561,0.1118607274794053,0.5777356624603271,0.2553584937379171,0.2367823821131377,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user10,user10,200,15,31276,200,11797,0.0042319893539258,,0.4582714149983076,0.5081138782611977,0.1670247465372085,0.7612952445537001,0.7760830713412827,0.8603137323048886,0.8980373007681919,0.8012110320654117,0.1179724089713524,0.5769062042236328,0.2476900907010256,0.2431974230736628,neural_memory_mirt_n2c_rate35_e8_user_discriminative
responses_static,neural_split_eval_user_discriminative,fasttext,neural_memory_mirt,uniform_random,s_user11,user11,50,15,31276,50,11947,0.0,,0.1470170530010364,0.4631935414012328,0.1466642767190933,0.8089897045283335,0.8102426997819854,0.8938547015139482,0.8471598660696937,0.923741464217414,0.1235860593225942,0.57668137550354,0.2550431070561647,0.2451661504980329,neural_memory_mirt_n2c_rate35_e8_user_discriminative
