model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.76, 0.175, 0.065] | b=0.020",100,0.8193452130789275,0.8157459180995625,0.419554474998777,0.1322769197381991,0.8945484384187502
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.175, 0.06] | b=0.020",100,0.8193189459527612,0.8156877793372179,0.4198079581860812,0.13226410224928806,0.8944395745339818
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.76, 0.17, 0.07] | b=0.020",100,0.819313692527528,0.8157604138024697,0.4193002159299932,0.1322758661430623,0.8946674380939323
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.17, 0.06] | b=0.020",100,0.8193084391022947,0.8156985619597774,0.4197608053691024,0.13224824541320357,0.8944501875671247
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.165, 0.07] | b=0.020",100,0.8192769185508952,0.8157380506933645,0.4192534242765046,0.13226009103647554,0.8946774077605008
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.17, 0.065] | b=0.020",100,0.819271665125662,0.8156952411597616,0.41950712064242085,0.132260915375885,0.8945589578814633
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.175, 0.06] | b=0.010",100,0.8192611582751954,0.8159285807698037,0.4198086670492665,0.13225710672646954,0.894439575596012
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.165, 0.06] | b=0.020",100,0.8192559048499621,0.8156644043930362,0.4197144240831119,0.13223276495907568,0.8944595447777803
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.18, 0.05] | b=0.010",100,0.819250651424729,0.8158572434344151,0.4205308958030202,0.1322536128767742,0.8942165043624402
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.76, 0.185, 0.055] | b=0.020",100,0.819250651424729,0.8155561369219384,0.4202117043867743,0.13228611396163228,0.8943060059876176
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.165, 0.065] | b=0.010",100,0.8192453979994957,0.8159620117962553,0.41946307639197744,0.13223869975775715,0.8945683735037672
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.18, 0.055] | b=0.020",100,0.8192401445742624,0.8155538279569989,0.4201631857088616,0.13226965119443038,0.8943188632577683
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.16, 0.065] | b=0.020",100,0.8192348911490291,0.8156883499267913,0.41941473456600353,0.1322300368613014,0.8945771214446002
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.16, 0.065] | b=0.010",100,0.8192296377237959,0.815959738493164,0.4194173082276514,0.13222349974021777,0.8945771217799781
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.76, 0.18, 0.06] | b=0.010",100,0.8192296377237959,0.8158847594011245,0.419856552458567,0.13227329042001587,0.8944283365241521
