model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.7425000071525574, 0.17749999463558197, 0.07999999821186066] | b=0.020",100,0.8194555350088257,0.815915359838234,0.4190770842356912,0.13233742253811678,0.8948543691744009
"rasch50 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.7425000071525574, 0.17749999463558197, 0.07999999821186066] | b=0.020",100,0.819439774733126,0.8159047555249164,0.4190064471606515,0.13231210362061102,0.894889900560748
"rasch10 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.7425000071525574, 0.16750000417232513, 0.09000000357627869] | b=0.020",100,0.819313692527528,0.8158068294308751,0.41902532191201475,0.1324255022136573,0.8949777981294023
rasch10,100,0.8171387744809616,0.814815921487304,0.4445846829447842,0.13209143952187719,0.8930695772297718
rasch25,100,0.8171387744809616,0.814815921487304,0.4442560391322805,0.13201009596728377,0.8932289666312265
rasch50,100,0.8171387744809616,0.814815921487304,0.4441456422109583,0.1319830612186888,0.8932525674524131
twopl10,100,0.8152160208455913,0.8110823994104522,0.4527364707215023,0.132830889538716,0.8902222663937255
twopl25,100,0.8152160208455913,0.8110823994104522,0.4524410138671014,0.13275175147720122,0.8902795311613041
twopl50,100,0.8152160208455913,0.8110823994104522,0.45233999993652985,0.13272536312440256,0.8903784836234634
vote_t10_pb0_p2,100,0.8063850130284945,0.8018211366782417,0.5108601570845668,0.138803052652362,0.8813738876541282
vote_t10_pb0_p1,100,0.805560225266874,0.8015470516736807,0.5127754436596504,0.1397564817209772,0.8801894427478013
vote_t10_pb15_p1,100,0.8037372867109356,0.799498096376125,0.4556211107734635,0.1426893280530602,0.8762545647082036
vote_t05_pb0_p1,100,0.7914968059174582,0.7911978119061442,0.5336856012820697,0.14716641993798205,0.8692606603823513
vote_t20_pb0_p1,100,0.7822770446331008,0.7781580996521409,0.5481203175321716,0.15371319262161537,0.8557417561829925
userlogreg_c01_pb50,100,0.7303206690762377,0.730626528838251,0.5216620276733799,0.1738913998519974,0.8279944020422831
