model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.4), np.float64(0.16), np.float64(0.07)] | b=0.020",1000,0.841519277984905,0.8370136578764659,0.3833167720728797,0.11856984343846762,0.9130551225013716
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.46), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8415135946167136,0.8372496865227281,0.38375017377250936,0.11852810476975263,0.9126941712292115
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.47), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8415079112485223,0.8372251048532184,0.38340482414737515,0.1185203055513247,0.9128114155374897
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.46), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8415079112485223,0.8372195303010095,0.38343143329909307,0.11852590496370365,0.9128235571288055
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.44), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414965445121396,0.8371954524469308,0.3834852674939233,0.11853735278941897,0.9128469432774045
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.43), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414965445121396,0.8371912715327741,0.3835124915710988,0.11854320127023547,0.9128584249590094
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.4), np.float64(0.16), np.float64(0.06)] | b=0.020",1000,0.8414965445121396,0.8370254286045555,0.38391036783418275,0.1185711862034226,0.9127809280497499
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.45), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8414908611439483,0.8372266162995115,0.3837763387682021,0.11853364042879541,0.9127060151203487
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.41), np.float64(0.16), np.float64(0.07)] | b=0.020",1000,0.8414908611439483,0.836985516916471,0.38328863232643484,0.11856373976980844,0.9130445841379496
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.45), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.841485177775757,0.8371908855255837,0.3834582488638549,0.11853158743086677,0.9128354684138613
