run,q,accuracy,balanced_accuracy,nll,brier,auroc
observed_vote_t10,100,0.805560225266874,0.783176677696325,0.5127754436596504,0.1397564839571714,0.8821111835661429
observed_vote_t10_power2,100,0.805560225266874,0.783176677696325,0.5425279540520713,0.14142279094085095,0.8821115874168536
observed_vote_t10_power3,100,0.805560225266874,0.783176677696325,0.6338712449199502,0.14937159745022652,0.8821212333172718
top_observed_vote_hybrid_w50_50,100,0.8032434647390099,0.8033282357507814,0.44061489693678135,0.14195225108414883,0.8846662251752304
top_observed_vote_hybrid,100,0.7998129780616963,0.805652692361886,0.4432002765449348,0.14304053550586102,0.8848659931322082
observed_vote_t05,100,0.7914968059174582,0.7204538221045707,0.5336856012820697,0.14716642023995516,0.8756259700543534
observed_vote_t20,100,0.7822770446331008,0.8031657463504014,0.5481203175321716,0.1537131918594241,0.8842294307152754
top_observed_vote_hybrid_w50_50,1000,0.828663499136128,0.8166792290416156,0.40229049624277524,0.1268067359924316,0.90000124161684
observed_vote_t10,1000,0.828419114303901,0.7978610394806741,0.4815316186973502,0.12583390949293966,0.8978696162816555
observed_vote_t10_power2,1000,0.828419114303901,0.7978610394806741,0.52169576874222,0.12798728048801417,0.8978736276379508
observed_vote_t10_power3,1000,0.828419114303901,0.7978610394806741,0.6182413507178636,0.13478771224617955,0.8978004408059178
top_observed_vote_hybrid,1000,0.8283622806219878,0.8228466080379816,0.40603378703037524,0.1280941138975322,0.900199964540265
observed_vote_t20,1000,0.8169728107665727,0.8252092269986956,0.508925151296128,0.13528589066118,0.8992994990232813
previous_top_3way,1000,0.8095503319087024,0.830995185229033,0.4301576006936386,0.1372414845973253,0.8996664130597043
observed_vote_t05,1000,0.7971378557788488,0.7193569663596638,0.5362022044847922,0.13993515586480496,0.8946033181627489
